repetition,window,cell,odigos,accepted,refusal_reason,cpu_ms_per_req,half1_cpu_ms,half2_cpu_ms,spans_per_req,requests,achieved_rps,p50_ms,p95_ms,p99_ms,error_rate,dropped
4,04-100,l,on,True,,3.9563,3.9702,3.9428,20.067,119400,199,43.94,46.27,48.429,0,0
4,04-100,xl,on,True,,13.744,13.6891,13.7975,20.149,34800,58,83.421,84.868,87.868,0,0
5,01-off,s,off,True,,1.4812,1.4988,1.4636,0,299999,500.0,1.51,1.809,4.864,0,0
5,01-off,schatty,off,True,,2.9669,3.0018,2.9324,0,180000,300,3.091,3.472,17.303,0,0
5,01-off,m,off,True,,5.8752,5.9191,5.8319,0,90000,150,6.075,6.491,16.885,0,0
5,01-off,l,off,True,,3.3526,3.3884,3.3176,0,119400,199,43.139,44.821,46.932,0,0
5,01-off,xl,off,True,,13.5726,13.6224,13.5242,0,34800,58,82.659,84.016,87.707,0,0
5,02-off,s,off,True,,1.4482,1.4527,1.4437,0,300001,500.0,1.498,1.759,3.146,0,0
5,02-off,schatty,off,True,,2.9366,2.914,2.9589,0,180000,300,3.097,3.402,6.818,0,0
5,02-off,m,off,True,,5.8074,5.8056,5.8094,0,90001,150.0,6.08,6.429,9.558,0,0
5,02-off,l,off,True,,3.334,3.3435,3.3247,0,119400,199,43.092,44.701,46.135,0,0
5,02-off,xl,off,True,,13.5714,13.5869,13.5563,0,34800,58,82.687,84.124,86.202,0,0
5,03-100,s,on,True,,1.4849,1.4868,1.4829,1.006,300001,500.0,1.504,1.794,4.138,0,0
5,03-100,schatty,on,True,,3.1328,3.1559,3.1097,2.02,180000,300,3.205,3.986,9.004,0,0
5,03-100,m,on,True,,5.9309,5.955,5.9071,2.029,90000,150,6.112,6.521,11.498,0,0
5,03-100,l,on,True,,3.9383,3.9483,3.9285,20.244,119401,199.0,43.911,46.39,50.179,0,0
5,03-100,xl,on,True,,14.2495,14.0146,14.4786,20.339,34800,58,83.2,85.667,90.87,0,0
5,04-100,s,on,True,,1.5582,1.5665,1.5499,1.005,300001,500.0,1.681,1.869,3.571,0,0
5,04-100,schatty,on,True,,3.1167,3.1219,3.1115,2.012,180001,300.0,3.219,3.828,7.538,0,0
5,04-100,m,on,True,,5.9055,5.9129,5.8983,2.015,90000,150,6.127,6.513,10.195,0,0
5,04-100,l,on,True,,3.9308,3.9287,3.9329,20.224,119400,199,43.89,46.304,48.355,0,0
5,04-100,xl,on,True,,13.8809,13.8933,13.868,20.245,34800,58,83.032,84.519,87.729,0,0
6,01-off,s,off,True,,1.4543,1.4692,1.4395,0,300001,500.0,1.511,1.802,5.87,0,0
6,01-off,schatty,off,True,,3.0075,3.029,2.9861,0,180000,300,3.102,3.639,28.479,0,0
6,01-off,m,off,True,,6.081,6.1371,6.0257,0,90000,150,6.259,6.911,27.264,0,0
6,01-off,l,off,True,,3.248,3.2581,3.2381,0,119400,199,43.054,44.684,46.834,0,0
6,01-off,xl,off,True,,13.3616,13.4238,13.3004,0,34800,58,82.424,83.665,87.629,0,0
6,02-off,s,off,True,,1.4574,1.4493,1.4655,0,300000,500,1.517,1.9,5.063,0,0
6,02-off,schatty,off,True,,2.9954,2.9982,2.9927,0,180000,300,3.12,3.521,17.76,0,0
6,02-off,m,off,True,,6.063,6.0682,6.0579,0,90000,150,6.274,6.744,11.013,0,0
6,02-off,l,off,True,,3.1637,3.1497,3.1774,0,119400,199,42.945,44.492,46.103,0,0
6,02-off,xl,off,True,,13.7755,13.7867,13.7646,0,34800,58,83.0,84.833,86.533,0,0
6,03-100,s,on,True,,1.5535,1.5688,1.5382,1.012,300000,500,1.667,2.0,5.454,0,0
6,03-100,schatty,on,True,,3.0529,3.0741,3.0318,2.027,180000,300,3.143,3.758,18.045,0,0
6,03-100,m,on,True,,6.3296,6.3801,6.2796,2.029,90000,150,6.51,7.591,15.588,0,0
6,03-100,l,on,True,,4.0426,4.0496,4.0357,20.32,119400,199,44.089,46.608,50.668,0,0
6,03-100,xl,on,True,,14.4139,14.4414,14.3869,20.381,34800,58,83.432,85.359,91.725,0,0
6,04-100,s,on,True,,1.5455,1.5497,1.5412,1.001,300000,500,1.671,2.013,4.771,0,0
6,04-100,schatty,on,True,,3.0809,3.089,3.0729,2.008,180000,300,3.233,3.633,9.57,0,0
6,04-100,m,on,True,,6.2918,6.3087,6.2751,2.013,90000,150,6.5,7.203,12.047,0,0
6,04-100,l,on,True,,4.0138,3.9958,4.0316,20.119,119400,199,44.097,46.534,48.984,0,0
6,04-100,xl,on,True,,14.3593,14.3446,14.3745,20.209,34800,58,83.404,85.14,88.816,0,0
